iter	RMSE
0	0.8304982234
1	0.8022918564
2	0.7766273078
3	0.7527954614
4	0.7300324642
5	0.7095497427
6	0.690655252
7	0.6732363665
8	0.6572395218
9	0.6421297797
10	0.6278060918
11	0.6145679783
12	0.6026135396
13	0.5912827025
14	0.5812166776
15	0.5721374527
16	0.5633753677
17	0.5553054769
18	0.5483250436
19	0.5416592618
20	0.5352713328
21	0.5293996466
22	0.5241038931
23	0.5191871738
24	0.5147858946
25	0.5109059281
26	0.5070761032
27	0.501891048
28	0.4974070597
29	0.4931833817
30	0.489109903
31	0.4853749853
32	0.4818920364
33	0.4782759978
34	0.4756447775
35	0.4731847861
36	0.4699024285
37	0.4677925882
38	0.4649224968
39	0.4629987288
40	0.4612896268
41	0.4587782679
42	0.4568537128
43	0.4546279666
44	0.4526951937
45	0.4510038149
46	0.4492028476
47	0.4467785504
48	0.445796353
49	0.4440043485
50	0.4423684737
51	0.4413485141
52	0.4400620782
53	0.4391084542
54	0.4382817873
55	0.4366058134
56	0.4358025754
57	0.4343938235
58	0.4335252681
59	0.4322044213
60	0.4314336731
61	0.4303736837
62	0.4289293295
63	0.4282277431
64	0.4271293917
65	0.426520652
66	0.4253826449
67	0.4248091785
68	0.4237009491
69	0.4225848106
70	0.4216153338
71	0.4210931396
72	0.4205355415
73	0.4196256667
74	0.4188846705
75	0.4183853866
76	0.417523362
77	0.417021159
78	0.4163761158
79	0.4156512396
80	0.4150615765
81	0.4143499651
82	0.4142112862
83	0.4136843005
84	0.4133118552
85	0.41295283
86	0.4122597493
87	0.4117844426
88	0.4113255027
89	0.4107509137
90	0.4102741683
91	0.4095801266
92	0.4091243989
93	0.4087144181
94	0.4082105097
95	0.4076203538
96	0.4072526077
97	0.4068400705
98	0.4064463457
99	0.4061604323
100	0.405849052
101	0.4052944343
102	0.4049268503
103	0.4044058997
104	0.4040410144
105	0.4036318608
106	0.403326572
107	0.4028870437
108	0.4025121523
109	0.4021980278
110	0.401988953
111	0.4016904231
112	0.4014235642
113	0.4009484447
114	0.4005998085
115	0.4003094517
116	0.3999201705
117	0.3995495337
118	0.3991236198
119	0.3988252681
120	0.3985186752
121	0.3981904885
122	0.3979515108
123	0.3975906667
124	0.3971896385
125	0.3968948407
126	0.3966815796
127	0.3964606742
128	0.3960311769
129	0.3957936705
130	0.3955662775
131	0.3951496804
132	0.3946306869
133	0.3942401102
134	0.3939847315
135	0.3936254751
136	0.3934022365
137	0.393155167
138	0.392876878
139	0.3923283377
140	0.3919516739
141	0.3917900966
142	0.3916236085
143	0.3913677307
144	0.3910955927
145	0.3909093228
146	0.3906967623
147	0.3905305155
148	0.3902172417
149	0.3900472761
150	0.3898714236
151	0.3895611197
152	0.3892049484
153	0.3887175412
154	0.38844798
155	0.3881591128
156	0.3878832453
157	0.3876388918
158	0.387473139
159	0.3873076371
160	0.386962368
161	0.3868558165
162	0.3865806582
163	0.3862116304
164	0.3860004624
165	0.3858232474
166	0.3856393615
167	0.3854517774
168	0.3852560955
169	0.3851299946
170	0.3849941755
171	0.3847708494
172	0.3844760135
173	0.3842169316
174	0.3841057653
175	0.383996826
176	0.3837846934
177	0.3835089513
178	0.3834278346
179	0.3833420178
180	0.3831918099
181	0.383064343
182	0.3828527374
183	0.3827547785
184	0.3825354508
185	0.3823521577
186	0.3821183527
187	0.3820237099
188	0.3818290795
189	0.3815930367
190	0.3815301016
191	0.3813463756
192	0.3811398356
193	0.3808237113
194	0.3807239806
195	0.3806037909
196	0.3804536491
197	0.3803638474
198	0.3802362019
199	0.3800048397
200	0.3798641705
201	0.3797312451
202	0.3795884866
203	0.3793514128
204	0.3792459712
205	0.3791151982
206	0.3789935759
207	0.3789008119
208	0.3787632209
209	0.3786229565
210	0.378565698
211	0.3784319003
212	0.378375296
213	0.3781889993
214	0.3780599045
215	0.377985408
216	0.3778899997
217	0.3777631601
218	0.3776916225
219	0.3775671674
220	0.377397819
221	0.3772871727
222	0.3770925961
223	0.3769919474
224	0.3768149134
225	0.3767072102
226	0.376617662
227	0.376513197
228	0.3764567085
229	0.3763471238
230	0.376226397
231	0.3761385112
232	0.3760377706
233	0.3759516072
234	0.3758630289
235	0.3757548867
236	0.3756593289
237	0.3755624602
238	0.3754259009
239	0.3753368665
240	0.3752670399
241	0.3751455937
242	0.375047553
243	0.3749429466
244	0.3747343747
245	0.3746426871
246	0.3744272622
247	0.3743094714
248	0.3742180146
249	0.3741117114
250	0.3740322977
251	0.3738907013
252	0.3737650088
253	0.3735055188
254	0.3734055641
255	0.3732334924
256	0.3731646864
