iter	Passed	Remaining
0	992	619215
1	1115	347453
2	1203	249452
3	1286	199803
4	1778	220580
5	1931	199277
6	2056	181562
7	2145	165475
8	2219	151914
9	2368	145654
10	2459	137284
11	2562	130875
12	2631	123869
13	2717	118614
14	2787	113349
15	2863	108988
16	2934	104966
17	3097	104451
18	3174	101258
19	3237	97942
20	3303	95017
21	3359	92089
22	3445	90186
23	3512	87961
24	3581	85946
25	3644	83959
26	3726	82536
27	3838	81847
28	3901	80177
29	3976	78865
30	4036	77335
31	4097	75933
32	4160	74633
33	4242	73735
34	4312	72696
35	4379	71659
36	4465	70967
37	4528	69953
38	4608	69248
39	4674	68370
40	4741	67531
41	4816	66861
42	4892	66224
43	4971	65651
44	5064	65277
45	5155	64892
46	5230	64321
47	5305	63781
48	5393	63400
49	5479	63014
50	5554	62510
51	5627	62005
52	5704	61561
53	5784	61169
54	5870	60837
55	5944	60404
56	6021	60007
57	6100	59640
58	6181	59303
59	6281	59152
60	6349	58705
61	6403	58144
62	6446	57504
63	6504	57019
64	6590	56782
65	6654	56364
66	6750	56220
67	6834	55979
68	6901	55612
69	6956	55154
70	7020	54782
71	7093	54481
72	7162	54157
73	7231	53842
74	7289	53458
75	7369	53232
76	7434	52912
77	7504	52630
78	7574	52349
79	7637	52027
80	7709	51776
81	7767	51437
82	7800	50939
83	7885	50789
84	7955	50542
85	8039	50386
86	8099	50084
87	8162	49812
88	8226	49546
89	8289	49275
90	8371	49127
91	8445	48927
92	8514	48705
93	8592	48536
94	8657	48300
95	8728	48096
96	8814	47979
97	8882	47768
98	8946	47531
99	9015	47333
100	9087	47146
101	9145	46891
102	9195	46600
103	9265	46414
104	9329	46203
105	9390	45977
106	9452	45759
107	9544	45688
108	9617	45527
109	9689	45362
110	9754	45168
111	9829	45022
112	9880	44767
113	9975	44714
114	10041	44530
115	10113	44376
116	10173	44170
117	10266	44111
118	10338	43961
119	10425	43874
120	10511	43783
121	10596	43689
122	10685	43608
123	10796	43623
124	10898	43592
125	10980	43485
126	11072	43417
127	11154	43310
128	11226	43166
129	11283	42963
130	11357	42830
131	11447	42754
132	11532	42662
133	11606	42528
134	11678	42390
135	11781	42362
136	11864	42260
137	12009	42381
138	12098	42302
139	12175	42180
140	12257	42073
141	12325	41925
142	12404	41809
143	12473	41666
144	12580	41645
145	12663	41547
146	12772	41531
147	12858	41442
148	12948	41365
149	13035	41278
150	13135	41234
151	13213	41119
152	13292	41005
153	13379	40921
154	13441	40758
155	13499	40585
156	13580	40482
157	13659	40374
158	13734	40253
159	13830	40194
160	13942	40182
161	14043	40137
162	14111	39997
163	14190	39890
164	14253	39736
165	14319	39595
166	14405	39507
167	14470	39364
168	14544	39243
169	14615	39118
170	14683	38983
171	14756	38863
172	14812	38701
173	14879	38566
174	14937	38409
175	14989	38239
176	15059	38117
177	15125	37984
178	15197	37866
179	15260	37726
180	15323	37589
181	15395	37473
182	15466	37357
183	15542	37250
184	15638	37193
185	15725	37115
186	15807	37024
187	15893	36944
188	15964	36829
189	16034	36711
190	16118	36625
191	16186	36504
192	16263	36403
193	16350	36325
194	16414	36196
195	16485	36083
196	16533	35920
197	16607	35814
198	16688	35724
199	16802	35706
200	16883	35614
201	17006	35612
202	17101	35550
203	17221	35540
204	17385	35619
205	17490	35576
206	17591	35522
207	17701	35487
208	17814	35458
209	17925	35423
210	18050	35415
211	18162	35382
212	18288	35374
213	18417	35371
214	18529	35335
215	18655	35323
216	18771	35294
217	18901	35288
218	19012	35247
219	19118	35194
220	19290	35263
221	19438	35286
222	19542	35228
223	19674	35220
224	19802	35204
225	19883	35104
226	19964	35004
227	20032	34880
228	20101	34761
229	20168	34636
230	20250	34539
231	20330	34440
232	20409	34336
233	20490	34237
234	20543	34092
235	20608	33968
236	20662	33827
237	20742	33728
238	20819	33625
239	20898	33524
240	20947	33377
241	21007	33247
242	21077	33134
243	21134	33000
244	21224	32920
245	21308	32829
246	21480	32872
247	21559	32773
248	21635	32671
249	21716	32574
250	21790	32468
251	21877	32382
252	21941	32262
253	22028	32175
254	22100	32068
255	22193	31989
256	22296	31925
257	22378	31832
258	22459	31737
259	22513	31605
260	22590	31505
261	22657	31392
262	22755	31321
263	22826	31212
264	22916	31131
